,ISBN,rating
715,0373123108,10.0
1882,0671744623,10.0
507,0345384385,10.0
2703,1573229571,10.0
2246,0810927543,10.0
2921,2912042615,10.0
921,0393050939,10.0
1891,0671776800,10.0
798,0375412883,10.0
2919,2909083004,10.0
1898,0671795538,10.0
2917,2908730308,10.0
1280,0451183940,10.0
1903,0671809158,10.0
1904,0671827847,10.0
525,0345423399,10.0
2733,1878610104,10.0
1907,0671870114,10.0
1908,0671870955,10.0
2252,0812097378,10.0
1881,0671744216,10.0
1957,0679763414,10.0
1880,0671744208,10.0
913,038550120X,10.0
914,0385501404,10.0
915,0385503822,10.0
2265,0812550544,10.0
1861,0671737600,10.0
1862,0671737619,10.0
1864,0671737635,10.0
1865,0671737643,10.0
1867,0671737791,10.0
1869,0671737821,10.0
1870,067173783X,10.0
1871,0671737848,10.0
1269,0451168615,10.0
1006,0399147128,10.0
917,0385505833,10.0
2680,1567310079,10.0
1879,0671742566,10.0
4305,8478884424,10.0
4306,8478884580,10.0
4308,8478885668,10.0
2912,2869596103,10.0
3862,8433970283,10.0
1291,0451194861,10.0
1542,0553574116,10.0
1541,0553574108,10.0
1540,0553574094,10.0
3362,8422678276,10.0
181,0140440232,10.0
1938,0679448896,10.0
2195,0793820103,10.0
2762,202023811X,10.0
1947,0679723161,10.0
1949,0679732241,10.0
1951,067973452X,10.0
1531,0553571907,10.0
1530,0553571842,10.0
1529,0553571834,10.0
166,0140230165,10.0
2755,2.912687.00.4,10.0
2211,0804105820,10.0
1555,0553583468,10.0
1911,0671870998,10.0
4310,8478886680,10.0
4311,8478887121,10.0
1909,0671870971,10.0
1564,0553802712,10.0
1563,0553802526,10.0
534,0345435273,10.0
535,0345438825,10.0
537,0345441036,10.0
2215,0804111898,10.0
3149,8422616335,10.0
1561,0553801880,10.0
202,0151002177,10.0
543,0345447859,10.0
545,0345453808,10.0
546,0345453816,10.0
548,0345462270,10.0
912,0385484518,10.0
1850,0671732498,10.0
2662,1565112008,10.0
435,0316693324,10.0
378,0312303467,10.0
377,0312284683,10.0
860,0380813815,10.0
375,0312265867,10.0
374,0312265859,10.0
373,0312252943,10.0
372,0312252617,10.0
1192,0446526916,10.0
369,0312205406,10.0
368,0312203039,10.0
429,0316277010,10.0
365,0312185863,10.0
431,0316569321,10.0
865,0380819171,10.0
433,0316603287,10.0
867,038082079X,10.0
434,0316666343,10.0
380,0312436408,10.0
1194,0446527041,10.0
383,0312851405,10.0
1732,0671010085,10.0
406,0312966806,10.0
405,0312966091,10.0
1723,067100333X,10.0
1722,0671002031,10.0
2507,0894803204,10.0
413,0312980140,10.0
1718,0671000853,10.0
1733,0671010093,10.0
1741,0671014218,10.0
1734,0671010107,10.0
2513,0895860775,10.0
855,0380807122,10.0
419,0312983867,10.0
2515,0898707714,10.0
421,0312993536,10.0
1195,0446527165,10.0
1365,0515102636,10.0
1761,0671032992,10.0
911,0385479565,10.0
1762,0671034014,10.0
3446,842333094X,10.0
2388,0843950463,10.0
2386,0843947888,10.0
2371,0843122749,10.0
1826,0671670069,10.0
814,0380690543,10.0
3434,8422697688,10.0
905,038533558X,10.0
3433,842269767X,10.0
2343,0833510266,10.0
3432,8422697661,10.0
2323,082121523X,10.0
1839,0671702505,10.0
2618,1555837336,10.0
1840,0671702513,10.0
1844,067172262X,10.0
1846,0671722816,10.0
3447,8423334473,10.0
2598,155166951X,10.0
2594,1551668653,10.0
1784,0671432672,10.0
839,0380776839,10.0
2448,0881841641,10.0
1690,0670000094,10.0
1685,0609804138,10.0
1776,0671042556,10.0
878,0380975726,10.0
1165,0441172717,10.0
2566,0965608646,10.0
1147,0440508363,10.0
835,0380761327,10.0
2427,0879758813,10.0
2575,1400034779,10.0
2422,0876669658,10.0
1797,0671525700,10.0
1150,044100069X,10.0
1149,0440967694,10.0
1527,0553571591,10.0
541,034544356X,10.0
1724,0671003356,10.0
997,0399138994,10.0
75,0061007226,10.0
756,0373256701,10.0
1425,0525945725,10.0
758,0373259565,10.0
2066,0743439651,10.0
1048,0425115801,10.0
2012,0689820747,10.0
2011,0689815816,10.0
1422,0525934189,10.0
4465,849318490X,10.0
31,0060086246,10.0
1359,0515084891,10.0
1361,051508901X,10.0
2138,0778320197,10.0
2140,0783547528,10.0
2829,2253029858,10.0
1023,0425018989,10.0
2791,2070423336,10.0
1485,0553268880,10.0
2889,2840557851,10.0
1378,0515129224,10.0
1362,0515090654,10.0
1363,051509160X,10.0
120,0066211220,10.0
2788,2070386023,10.0
1387,0515133876,10.0
755,0373255632,10.0
1388,0515134449,10.0
2050,0743245520,10.0
1394,0515134511,10.0
1395,051513452X,10.0
1392,0515134481,10.0
1333,0452011876,10.0
979,0395071224,10.0
1442,0553099604,10.0
86,0061020710,10.0
1354,0486414132,10.0
2051,074324642X,10.0
2059,0743426827,10.0
2120,0765342294,10.0
1391,0515134473,10.0
1389,0515134457,10.0
1390,0515134465,10.0
2096,0743526279,10.0
2808,2211068987,10.0
2123,0768905362,10.0
1454,0553209329,10.0
1327,0451524942,10.0
1430,0534349668,10.0
1400,0517219018,10.0
2064,0743437128,10.0
1458,0553213059,10.0
1014,0399151060,10.0
1494,0553283545,10.0
1374,051512219X,10.0
1495,0553285947,10.0
1518,0553564927,10.0
143,0140018603,10.0
2075,0743446259,10.0
2090,0743477081,10.0
1008,0399148248,10.0
58,0060531231,10.0
1366,0515103969,10.0
2776,2070283836,10.0
709,0373122780,10.0
773,0373440049,10.0
2038,0743201205,10.0
1516,0553561537,10.0
151,0140048898,10.0
57,0060514957,10.0
1978,0684196395,10.0
1977,0684196387,10.0
3778,8433906674,10.0
1519,0553565060,10.0
156,0140061436,10.0
157,0140067477,10.0
2088,0743476131,10.0
2087,0743476123,10.0
63,0060907010,10.0
2840,2253932299,10.0
1523,0553569406,10.0
125,0070342024,10.0
1367,0515108030,10.0
1364,0515094773,10.0
1981,0684822652,10.0
1497,0553289322,10.0
1498,055329315X,10.0
1499,0553293176,10.0
129,0073988693,10.0
2159,078686382X,10.0
1500,0553296124,10.0
132,0134487206,10.0
1372,051511992X,10.0
600,0373033346,10.0
1982,0684823780,10.0
2054,0743407075,10.0
1010,0399148639,10.0
1414,0520217551,10.0
1009,039914840X,10.0
2780,2070360024,10.0
137,0139536477,10.0
1371,0515119482,10.0
1593,059035342X,9.5
379,0312306326,9.333333333333334
2937,84.8464.163.5,9.0
451,034528223X,9.0
2956,8401301548,9.0
1232,0449910261,9.0
469,0345324382,9.0
463,0345314867,9.0
2938,84.8464.202.X,9.0
1403,0517542099,9.0
1226,0449227545,9.0
2570,0968522602,9.0
459,034530988X,9.0
1402,0517468522,9.0
729,0373171633,9.0
2998,840138110X,9.0
1683,0609800949,9.0
4014,8467202394,9.0
714,0373123086,9.0
713,0373123078,9.0
3002,8401422248,9.0
712,0373123035,9.0
711,0373122918,9.0
1719,0671001132,9.0
710,0373122853,9.0
1717,0670886017,9.0
717,0373153260,9.0
705,0373122675,9.0
1711,0670852295,9.0
1706,0670829994,9.0
425,0316108367,9.0
2999,8401381630,9.0
2855,2266112058,9.0
1380,0515131229,9.0
847,038079439X,9.0
1347,0452281253,9.0
1358,0515041637,9.0
3505,8427016719,9.0
3631,8432043753,9.0
691,0373118597,9.0
1357,0515041343,9.0
1212,044900256X,9.0
2989,8401341744,9.0
2548,0929141814,9.0
4022,8470020749,9.0
3515,8427200153,9.0
2557,0940895366,9.0
2590,1551665921,9.0
2768,2020638894,9.0
1345,0452279623,9.0
542,0345447832,9.0
540,034544282,9.0
788,0373834446,9.0
789,0374507481,9.0
2783,2070368017,9.0
3894,8437602416,9.0
1283,0451186664,9.0
2891,2842050622,9.0
2914,2881430015,9.0
2737,1880418592,9.0
2789,2070401987,9.0
1484,0553268120,9.0
794,037540600X,9.0
2915,2901076343,9.0
2792,2070424715,9.0
519,0345417089,9.0
3587,8429734716,9.0
799,0375420975,9.0
1476,0553256130,9.0
802,0375507779,9.0
408,0312971346,9.0
2782,2070365832,9.0
1251,0451159233,9.0
3761,8432298509,9.0
1522,0553569376,9.0
580,0373031262,9.0
1295,0451203267,9.0
3569,8427933800,9.0
1533,0553572393,9.0
2764,2020289474,9.0
2906,286869246X,9.0
2907,2868692761,9.0
1515,0553560719,9.0
2903,2864245043,9.0
1550,0553580604,9.0
1288,0451190572,9.0
1287,0451190556,9.0
1508,0553350064,9.0
2753,1928916023,9.0
2778,2070300668,9.0
3877,8434839369,9.0
1505,0553298046,9.0
1286,0451190521,9.0
2695,1572702281,9.0
2694,157270053X,9.0
2693,1572700378,9.0
804,0375751513,9.0
2877,2709800551,9.0
810,0380017520,9.0
2633,155970134X,9.0
2619,1556704062,9.0
2826,2253004367,9.0
2617,1555837298,9.0
1426,0525946284,9.0
1342,0452276144,9.0
1265,0451166604,9.0
813,0380521679,9.0
2836,2253072656,9.0
1263,0451165594,9.0
483,0345348036,9.0
2873,2706102004,9.0
482,0345342445,9.0
1262,0451164938,9.0
2838,2253154083,9.0
1259,0451162331,9.0
2607,1551990482,9.0
2905,2868691870,9.0
654,0373113161,9.0
1335,0452260302,9.0
808,0380012863,9.0
1471,0553247379,9.0
2800,2070755894,9.0
1320,0451458923,9.0
2887,2743603445,9.0
1271,0451170113,9.0
1270,0451169530,9.0
1457,055321277X,9.0
3603,8429752307,9.0
2884,2742738150,9.0
2651,1564029859,9.0
2813,2226062548,9.0
1446,0553117173,9.0
1332,0452009308,9.0
2666,1566190959,9.0
2815,2226093524,9.0
809,0380017121,9.0
2880,2720600628,9.0
1434,0553051741,9.0
2650,156402976X,9.0
1758,0671027581,9.0
2504,0893811386,9.0
149,0140042520,9.0
1946,0679720227,9.0
4377,848310007X,9.0
4380,8483100274,9.0
170,014029984X,9.0
1079,0439139600,9.0
1077,0439064872,9.0
1959,0679785892,9.0
1074,0425190374,9.0
1975,0684124297,9.0
2163,0786889160,9.0
150,0140043829,9.0
147,0140042229,9.0
1935,0679441891,9.0
4399,8483106604,9.0
144,0140019200,9.0
142,0140016880,9.0
141,0140013997,9.0
140,0140012133,9.0
3344,8422671379,9.0
138,0140007555,9.0
2161,0786866462,9.0
2000,0688155308,9.0
2142,078389290X,9.0
2010,068981528X,9.0
2193,0788749730,9.0
1726,0671003682,9.0
103,0061092185,9.0
1115,0440214041,9.0
1902,0671800914,9.0
230,0240510860,9.0
229,0205289924,9.0
925,0394170377,9.0
4307,8478884955,9.0
4309,8478886451,9.0
216,0156999811,9.0
4313,8478950257,9.0
214,0156013924,9.0
4314,8478950400,9.0
1118,0440221471,9.0
3153,8422619202,9.0
2198,0802135161,9.0
2221,0804119716,9.0
203,0151002517,9.0
201,0151000891,9.0
200,0143012711,9.0
933,0394700864,9.0
934,0394702409,9.0
935,039470262X,9.0
936,0394718380,9.0
4342,8480761477,9.0
2208,0804006660,9.0
2207,080400322X,9.0
2016,0694523232,9.0
2085,074347516X,9.0
2234,0806518871,9.0
4510,950515609X,9.0
37,0060177500,9.0
36,0060164662,9.0
4505,9505156030,9.0
4506,9505156057,9.0
4507,9505156065,9.0
30,006001315X,9.0
2067,0743439961,9.0
2068,0743444043,9.0
27,0060012331,9.0
4508,9505156073,9.0
4509,9505156081,9.0
4511,9505156103,9.0
4503,9505156014,9.0
4512,950581643X,9.0
4514,9507300600,9.0
4516,9681500601,9.0
14,0027183505,9.0
1002,0399144463,9.0
4522,9802570532,9.0
1003,0399145079,9.0
7,0020427115,9.0
6,0007128649,9.0
3,0006480918,9.0
4524,9992056061,9.0
4504,9505156022,9.0
4497,9500723832,9.0
1039,0425094537,9.0
2029,0736659293,9.0
4453,8487835001,9.0
4455,8488342152,9.0
93,0061052523,9.0
92,0061052515,9.0
91,0061052507,9.0
90,0061051578,9.0
88,0061050474,9.0
85,0061020699,9.0
83,0061020648,9.0
4457,8488730535,9.0
81,0061020613,9.0
79,006101351X,9.0
2104,0756401364,9.0
2118,0763619612,9.0
4461,848966921X,9.0
2117,0763618292,9.0
73,0061002860,9.0
2034,0740713949,9.0
68,0060930128,9.0
62,0060906995,9.0
4478,8495824035,9.0
1026,0425064085,9.0
1024,0425031748,9.0
2044,0743215052,9.0
3401,842269381X,9.0
3186,8422633345,9.0
2236,0806521317,9.0
2275,0812580346,9.0
1164,0441172695,9.0
3084,8420439193,9.0
3091,842048136X,9.0
1799,0671530895,9.0
891,038529929X,9.0
2241,0807281859,9.0
2399,0870113658,9.0
4156,847515185X,9.0
3445,8423329747,9.0
2356,0836282868,9.0
1825,067166493X,9.0
901,0385333218,9.0
3111,8420633356,9.0
908,0385409923,9.0
4204,8475335071,9.0
3112,8420633364,9.0
3113,8420633372,9.0
3062,8408021664,9.0
1169,0441359175,9.0
1769,0671039733,9.0
387,0312857675,9.0
3496,8426445047,9.0
1728,0671006614,9.0
3495,8426445004,9.0
2501,0893810037,9.0
395,0312876920,9.0
391,0312868650,9.0
389,0312867123,9.0
385,0312854285,9.0
4076,8474103665,9.0
384,0312851685,9.0
3492,8426411487,9.0
371,0312242883,9.0
1748,0671020781,9.0
3033,8401910129,9.0
3043,840309289X,9.0
4075,8474102456,9.0
4211,8475964869,9.0
1806,0671552678,9.0
4266,8477830231,9.0
4264,8477830215,9.0
2247,0811801233,9.0
247,0307010368,9.0
250,0307010856,9.0
1888,0671758896,9.0
2253,0812500482,9.0
2273,0812575717,9.0
3412,8422693941,9.0
2260,0812513738,9.0
2259,0812513711,9.0
3115,8420636592,9.0
1851,067173251X,9.0
1849,0671732463,9.0
1890,0671774832,9.0
2264,0812550307,9.0
4273,8478082875,9.0
4274,8478093095,9.0
918,0385507607,9.0
1554,0553583441,8.5
498,0345370775,8.5
148,0140042393,8.5
1770,0671041789,8.5
1038,042509345X,8.5
1167,0441304834,8.5
1078,0439136369,8.5
1087,043935806X,8.5
416,0312983271,8.5
1878,0671742558,8.5
1072,0425188361,8.5
1994,0684867621,8.333333333333334
1173,0441748600,8.0
1037,0425093255,8.0
1027,0425067785,8.0
1221,0449183297,8.0
1028,0425067815,8.0
1029,0425067823,8.0
2981,840132405X,8.0
2874,2707142158,8.0
1030,042506784X,8.0
2876,2709620790,8.0
1219,0449148491,8.0
3055,8408015109,8.0
1113,0440211727,8.0
3059,8408017748,8.0
1220,0449149404,8.0
3061,8408020854,8.0
1032,0425067947,8.0
2875,2707306096,8.0
1340,0452267870,8.0
2911,2869305583,8.0
1031,0425067866,8.0
3249,8422645483,8.0
2868,2702015239,8.0
2997,8401378435,8.0
3117,842063963X,8.0
1203,0446610771,8.0
3118,842063977X,8.0
3015,8401491568,8.0
2920,2910884465,8.0
1197,0446531480,8.0
3253,842264553X,8.0
3000,8401382041,8.0
2922,2912517060,8.0
3252,8422645513,8.0
3030,8401607892,8.0
3134,8422611767,8.0
3037,8402062148,8.0
3039,8402076564,8.0
1176,0446329894,8.0
3148,842261586X,8.0
3048,8403599269,8.0
1211,0449002551,8.0
3251,8422645505,8.0
3250,8422645491,8.0
2865,2290315702,8.0
2883,274273600X,8.0
3248,8422645475,8.0
3246,8422645246,8.0
1352,0486284727,8.0
1214,0449005852,8.0
3242,8422644762,8.0
3116,8420639508,8.0
3086,8420447870,8.0
1097,0440187001,8.0
1222,0449183300,8.0
2895,284261495X,8.0
1298,0451204611,8.0
1253,0451160444,8.0
1065,0425177173,8.0
2900,2859407332,8.0
1252,0451159276,8.0
1144,0440417414,8.0
1250,0451159098,8.0
3214,8422638827,8.0
3100,8420604690,8.0
2893,2842051181,8.0
2934,711900977X,8.0
3156,8422620200,8.0
3212,8422638800,8.0
3213,8422638819,8.0
1255,0451160525,8.0
3104,8420612979,8.0
3107,842061663X,8.0
3108,8420618578,8.0
3199,8422635593,8.0
2904,2867261511,8.0
1073,0425188485,8.0
1109,044021145X,8.0
3161,8422623013,8.0
3171,8422630214,8.0
1136,0440351626,8.0
3194,8422635542,8.0
1090,0439974585,8.0
2910,2869303971,8.0
2909,2868698204,8.0
1267,0451167783,8.0
2908,2868694152,8.0
1060,0425170357,8.0
1058,0425168468,8.0
2977,8401323657,8.0
1323,0451523628,8.0
1046,0425105695,8.0
1044,0425103536,8.0
1318,0451458443,8.0
1043,0425102432,8.0
1321,0451459873,8.0
1322,0451521250,8.0
1151,0441002846,8.0
1309,0451404866,8.0
1040,0425094820,8.0
1152,0441003729,8.0
2886,2742747370,8.0
2962,8401321786,8.0
3092,8420482420,8.0
1157,0441009387,8.0
1317,0451457935,8.0
1047,0425108589,8.0
1316,0451453573,8.0
1245,0451151259,8.0
1315,0451451538,8.0
3226,8422639130,8.0
3223,8422638916,8.0
3220,8422638886,8.0
3218,842263886X,8.0
3099,8420604666,8.0
2890,2842050312,8.0
1312,0451406141,8.0
3217,8422638851,8.0
3216,8422638843,8.0
3215,8422638835,8.0
2892,2842051092,8.0
1057,0425164829,8.0
4525,UNGRANDHOMMED,8.0
2674,1567184960,8.0
2861,2267017024,8.0
2859,226701470X,8.0
2270,0812571088,8.0
2272,0812574621,8.0
2274,0812579410,8.0
2282,0816704600,8.0
1841,0671706039,8.0
1838,0671700103,8.0
2325,0821227750,8.0
2344,0833544721,8.0
2346,0836218051,8.0
2349,0836218663,8.0
2350,0836218787,8.0
2353,0836220854,8.0
2354,0836220986,8.0
1822,067165604X,8.0
1820,0671653504,8.0
1855,0671736795,8.0
2268,0812562860,8.0
1868,0671737805,8.0
2230,0805022937,8.0
1917,0671884395,8.0
1916,0671881035,8.0
2228,0805022570,8.0
2229,0805022929,8.0
1912,0671874292,8.0
1910,067187098X,8.0
2231,0805022945,8.0
2254,0812509234,8.0
2232,0805062971,8.0
2233,0805062998,8.0
2242,0807281913,8.0
1885,0671746472,8.0
1884,0671746049,8.0
1877,0671741454,8.0
1816,0671614347,8.0
1815,0671606379,8.0
1814,0671602551,8.0
1763,0671034065,8.0
1778,0671043323,8.0
1775,0671042432,8.0
1774,0671042424,8.0
1773,0671042408,8.0
2447,0881663298,8.0
2457,0886468833,8.0
1760,0671032577,8.0
2435,0880386258,8.0
1755,0671025341,8.0
2465,0886777690,8.0
2466,0886777844,8.0
2470,0886778506,8.0
1750,0671020803,8.0
1749,067102079X,8.0
1779,067104561X,8.0
2432,0880382678,8.0
1813,0671600621,8.0
2412,0875420907,8.0
1812,0671582291,8.0
1810,0671568663,8.0
1807,0671557963,8.0
1803,0671543857,8.0
1802,0671543210,8.0
1801,0671542133,8.0
1798,0671525751,8.0
2431,088038266X,8.0
2413,0875420915,8.0
2414,0875421180,8.0
2425,0877799156,8.0
1789,0671468073,8.0
2429,0880380845,8.0
2430,0880382651,8.0
2220,0804119708,8.0
2219,0804119546,8.0
2217,080411952X,8.0
2028,0736631038,8.0
2039,0743202007,8.0
2037,0740734121,8.0
2036,0740733052,8.0
2035,0740723219,8.0
2116,0763617229,8.0
2031,0738700940,8.0
2119,0765198916,8.0
2111,0760703884,8.0
2124,0771007899,8.0
2125,0771014813,8.0
2126,0771014821,8.0
2021,0698118952,8.0
2128,0771014864,8.0
2018,0694524743,8.0
2112,0761318453,8.0
2045,0743216393,8.0
2129,0771014899,8.0
2091,0743479343,8.0
2079,0743455827,8.0
2078,0743452410,8.0
2077,0743448405,8.0
2074,0743445643,8.0
2073,0743445627,8.0
2072,0743445600,8.0
2070,0743444124,8.0
2105,0758200404,8.0
2095,074350061X,8.0
2062,0743434897,8.0
2100,0752584839,8.0
2055,0743410246,8.0
2053,0743400518,8.0
2052,074340050X,8.0
2017,0694523283,8.0
2132,0771086857,8.0
2216,0804115729,8.0
1936,0679444815,8.0
2183,0786928808,8.0
2184,078692893X,8.0
1955,0679750169,8.0
1954,0679746048,8.0
1953,0679735771,8.0
1950,067973225X,8.0
2197,0802130348,8.0
2174,0786918454,8.0
2199,0802135307,8.0
1929,0679429220,8.0
2209,080410526X,8.0
2214,0804111421,8.0
1925,0679310665,8.0
1923,0676971695,8.0
2179,0786928360,8.0
2172,0786915889,8.0
2133,0771087453,8.0
2152,0786015136,8.0
2134,0771088337,8.0
2145,0785329633,8.0
2147,0785811915,8.0
1997,068811055X,8.0
2150,0786010614,8.0
2151,0786014059,8.0
2153,0786244046,8.0
2165,0786901063,8.0
1991,0684859637,8.0
1990,0684853523,8.0
1985,0684845989,8.0
2160,0786865199,8.0
1980,0684801639,8.0
2162,0786888067,8.0
1747,0671020374,8.0
1746,0671020366,8.0
2472,0886779758,8.0
1486,0553272373,8.0
2781,2070364232,8.0
2784,2070368408,8.0
1493,0553280031,8.0
2786,2070377113,8.0
1488,0553273639,8.0
2790,2070404587,8.0
2794,2070494497,8.0
2777,207029238X,8.0
1478,0553259040,8.0
1475,0553254251,8.0
1474,0553250779,8.0
2797,2070706362,8.0
1472,0553248944,8.0
1468,055324678X,8.0
2779,207032317X,8.0
2775,2070233359,8.0
1465,0553234463,8.0
1539,0553573403,8.0
2749,1896332145,8.0
2754,1929156006,8.0
1551,0553581236,8.0
1548,0553579908,8.0
1547,0553577239,8.0
2760,202021783X,8.0
1538,0553573357,8.0
2773,2040199926,8.0
2763,2020281376,8.0
